,national_number,gen,english_name,japanese_name,classification,primary_type,secondary_type,description,col_name,egg_group,color,habitat,shape
682,683,VI,Aromatisse,Frefuwan,Fragrance Pokémon,fairy,,The scent that constantly emits from its fur is so powerful that this Pokémon’s companions will eventually lose their sense of smell.,,fairy,pink,,humanoid
683,684,VI,Swirlix,Peroppafu,Cotton Candy Pokémon,fairy,,"It eats its own weight in sugar every day. If it doesn’t get enough sugar, it becomes incredibly grumpy.",,fairy,white,,legs
684,685,VI,Slurpuff,Peroream,Meringue Pokémon,fairy,,"By taking in a person’s scent, it can sniff out their mental and physical condition. It’s hoped that this skill will have many medical applications.",,fairy,white,,humanoid
685,686,VI,Inkay,Maaiika,Revolving Pokémon,dark,psychic,It spins while making its luminescent spots flash. These spots allow it to communicate with others by using different patterns of light.,,water2,blue,,tentacles
686,687,VI,Malamar,Calamanero,Overturning Pokémon,dark,psychic,"Gazing at its luminescent spots will quickly induce a hypnotic state, putting the observer under Malamar’s control.",,water2,blue,,blob
687,688,VI,Binacle,Kametete,Two-Handed Pokémon,rock,water,"After two Binacle find a suitably sized rock, they adhere themselves to it and live together. They cooperate to gather food during high tide.",,water3,brown,,heads
688,689,VI,Barbaracle,Gamenodes,Collective Pokémon,rock,water,Seven Binacle come together to form one Barbaracle. The Binacle that serves as the head gives orders to those serving as the limbs.,,water3,brown,,heads
689,690,VI,Skrelp,Kuzumo,Mock Kelp Pokémon,poison,water,"It drifts in the ocean, blending in with floating seaweed. When other Pokémon come to feast on the seaweed, Skrelp feasts on them instead.",,dragon,brown,,blob
690,691,VI,Dragalge,Dramidoro,Mock Kelp Pokémon,poison,dragon,Dragalge uses a poisonous liquid capable of corroding metal to send tankers that enter its territory to the bottom of the sea.,,dragon,brown,,blob
691,692,VI,Clauncher,Udeppou,Water Gun Pokémon,water,,"Clauncher’s claws can fall off during battle, but they’ll regenerate. The meat inside the claws is popular as a delicacy in Galar.",,water3,blue,,armor
692,693,VI,Clawitzer,Bloster,Howitzer Pokémon,water,,"After using the feelers on its oversized claw to detect the location of prey, Clawitzer launches a cannonball of water at its target.",,water3,blue,,squiggle
693,694,VI,Helioptile,Erikiteru,Generator Pokémon,electric,normal,"When spread, the frills on its head act like solar panels, generating the power behind this Pokémon’s electric moves.",,dragon,yellow,,upright
694,695,VI,Heliolisk,Elezard,Generator Pokémon,electric,normal,"A now-vanished desert culture treasured these Pokémon. Appropriately, when Heliolisk came to the Galar region, treasure came with them.",,dragon,yellow,,upright
695,696,VI,Tyrunt,Chigoras,Royal Heir Pokémon,rock,dragon,"This is an ancient Pokémon, revived in modern times. It has a violent disposition, and it’ll tear apart anything it gets between its hefty jaws.",,dragon,brown,,upright
696,697,VI,Tyrantrum,Gachigoras,Despot Pokémon,rock,dragon,"This Pokémon is from about 100,000,000 years ago. It has the presence of a king, vicious but magnificent.",,dragon,red,,upright
697,698,VI,Amaura,Amarus,Tundra Pokémon,rock,ice,"This Pokémon was successfully restored from a fossil. In the past, it lived with others of its kind in cold lands where there were fewer predators.",,monster,blue,,quadruped
698,699,VI,Aurorus,Amaruruga,Tundra Pokémon,rock,ice,"Aurorus was restored from a fossil. It’s said that when this Pokémon howls, auroras appear in the night sky.",,monster,blue,,quadruped
699,700,VI,Sylveon,Nymphia,Intertwining Pokémon,fairy,,"By releasing enmity-erasing waves from its ribbonlike feelers, Sylveon stops any conflict.",,ground,pink,,quadruped
700,701,VI,Hawlucha,Luchabull,Wrestling Pokémon,fighting,flying,"It drives its opponents to exhaustion with its agile maneuvers, then ends the fight with a flashy finishing move.",,humanshape,green,,humanoid
701,702,VI,Dedenne,Dedenne,Antenna Pokémon,electric,fairy,A Dedenne’s whiskers pick up electrical waves other Dedenne send out. These Pokémon share locations of food or electricity with one another.,,fairy,yellow,,upright
702,703,VI,Carbink,Melecie,Jewel Pokémon,rock,fairy,"When beset by attackers, Carbink wipes them all out by firing high-energy beams from the gems embedded in its body.",,mineral,gray,,ball
703,704,VI,Goomy,Numera,Soft Tissue Pokémon,dragon,,"Because most of its body is water, it will dry up if the weather becomes too arid. It’s considered the weakest dragon Pokémon.",,dragon,purple,,squiggle
704,705,VI,Sliggoo,Numeil,Soft Tissue Pokémon,dragon,,"Although this Pokémon isn’t very strong, its body is coated in a caustic slime that can melt through anything, so predators steer clear of it.",,dragon,purple,,squiggle
705,706,VI,Goodra,Numelgon,Dragon Pokémon,dragon,,"Sometimes it misunderstands instructions and appears dazed or bewildered. Many Trainers don’t mind, finding this behavior to be adorable.",,dragon,purple,,upright
706,707,VI,Klefki,Cleffy,Key Ring Pokémon,steel,fairy,"This Pokémon is constantly collecting keys. Entrust a Klefki with important keys, and the Pokémon will protect them no matter what.",,mineral,gray,,ball
707,708,VI,Phantump,Bokurei,Stump Pokémon,ghost,grass,"After a lost child perished in the forest, their spirit possessed a tree stump, causing the spirit’s rebirth as this Pokémon.",,indeterminate,brown,,arms
708,709,VI,Trevenant,Ohrot,Elder Tree Pokémon,ghost,grass,"People fear it due to a belief that it devours any who try to cut down trees in its forest, but to the Pokémon it shares its woods with, it’s kind.",,indeterminate,brown,,tentacles
709,710,VI,Pumpkaboo,Bakeccha,Pumpkin Pokémon,ghost,grass,Spirits that wander this world are placed into Pumpkaboo’s body. They’re then moved on to the afterlife.,,indeterminate,brown,,ball
710,711,VI,Gourgeist,Pumpjin,Pumpkin Pokémon,ghost,grass,Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.,,indeterminate,brown,,blob
711,712,VI,Bergmite,Kachikohru,Ice Chunk Pokémon,ice,,"They chill the air around them to −150 degrees Fahrenheit, freezing the water in the air into ice that they use as armor.",,mineral,blue,,quadruped
712,713,VI,Avalugg,Crebase,Iceberg Pokémon,ice,,"At high latitudes, this Pokémon can be found with clusters of Bergmite on its back as it swims among the icebergs.",,mineral,blue,,quadruped
713,714,VI,Noibat,Onbat,Sound Wave Pokémon,flying,dragon,"After nightfall, they emerge from the caves they nest in during the day. Using their ultrasonic waves, they go on the hunt for ripened fruit.",,dragon,purple,,wings
714,715,VI,Noivern,Onvern,Sound Wave Pokémon,flying,dragon,"Aggressive and cruel, this Pokémon will ruthlessly torment enemies that are helpless in the dark.",,dragon,purple,,wings
715,716,VI,Xerneas,Xerneas,Life Pokémon,fairy,,Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.,,no-eggs,blue,,quadruped
716,717,VI,Yveltal,Yveltal,Destruction Pokémon,dark,flying,"When this legendary Pokémon’s wings and tail feathers spread wide and glow red, it absorbs the life force of living creatures.",,no-eggs,red,,wings
717,718,VI,Zygarde,Zygarde,Order Pokémon,dragon,ground,This is Zygarde’s form when about half of its pieces have been assembled. It plays the role of monitoring the ecosystem.,,no-eggs,green,,squiggle
718,719,VI,Diancie,Diancie,Jewel Pokémon,rock,fairy,"A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world.",,no-eggs,pink,,arms
719,720,VI,Hoopa,Hoopa ,Mischief Pokémon,psychic,ghost,"In its true form, it possesses a huge amount of power. Legends of its avarice tell how it once carried off an entire castle to gain the treasure hidden within.",,no-eggs,purple,,arms
720,721,VI,Volcanion,Volcanion,Steam Pokémon,fire,water,It lets out billows of steam and disappears into the dense fog. It’s said to live in mountains where humans do not tread.,,no-eggs,brown,,quadruped
721,722,VII,Rowlet,Mokuroh,Grass Quill Pokémon,grass,flying,"It sends its feathers, which are as sharp as blades, flying in attack. Its legs are strong, so its kicks are also formidable.",,flying,brown,,wings
722,723,VII,Dartrix,Fukuthrow,Blade Quill Pokémon,grass,flying,"This narcissistic Pokémon is a clean freak. If you don’t groom it diligently, it will stop listening to you.",,flying,brown,,wings
723,724,VII,Decidueye,Junaiper,Arrow Quill Pokémon,grass,ghost,"It nocks its arrow quills and shoots them at opponents. When it simply can’t afford to miss, it tugs the vine on its head to improve its focus.",,flying,brown,,wings
724,725,VII,Litten,Nyabby,Fire Cat Pokémon,fire,,"If you try too hard to get close to it, it won’t open up to you. Even if you do grow close, giving it too much affection is still a no-no.",,ground,red,,quadruped
725,726,VII,Torracat,Nyaheat,Fire Cat Pokémon,fire,,"It can act spoiled if it grows close to its Trainer. A powerful Pokémon, its sharp claws can leave its Trainer’s whole body covered in scratches.",,ground,red,,quadruped
726,727,VII,Incineroar,Gaogaen,Heel Pokémon,fire,dark,"Although it’s rough mannered and egotistical, it finds beating down unworthy opponents boring. It gets motivated for stronger opponents.",,ground,red,,upright
727,728,VII,Popplio,Ashimari,Sea Lion Pokémon,water,,The balloons it inflates with its nose grow larger and larger as it practices day by day.,,ground,blue,,fish
728,729,VII,Brionne,Osyamari,Pop Star Pokémon,water,,It gets excited when it sees a dance it doesn’t know. This hard worker practices diligently until it can learn that dance.,,ground,blue,,fish
729,730,VII,Primarina,Ashirene,Soloist Pokémon,water,fairy,"To Primarina, every battle is a stage. It takes down its prey with beautiful singing and dancing.",,ground,blue,,fish
730,731,VII,Pikipek,Tsutsukera,Woodpecker Pokémon,normal,flying,It pecks at trees with its hard beak. You can get some idea of its mood or condition from the rhythm of its pecking.,,flying,black,,wings
731,732,VII,Trumbeak,Kerarappa,Bugle Beak Pokémon,normal,flying,It can bend the tip of its beak to produce over a hundred different cries at will.,,flying,black,,wings
732,733,VII,Toucannon,Dodekabashi,Cannon Pokémon,normal,flying,They smack beaks with others of their kind to communicate. The strength and number of hits tell each other how they feel.,,flying,black,,wings
733,734,VII,Yungoos,Youngoose,Loitering Pokémon,normal,,"Its stomach takes up most of its long torso. It’s a big eater, so the amount Trainers have to spend on its food is no laughing matter.",,ground,brown,,quadruped
734,735,VII,Gumshoos,Dekagoose,Stakeout Pokémon,normal,,"Although it wasn’t originally found in Alola, this Pokémon was brought over a long time ago when there was a huge Rattata outbreak.",,ground,brown,,quadruped
735,736,VII,Grubbin,Agojimushi,Larva Pokémon,bug,,"Its natural enemies, like Rookidee, may flee rather than risk getting caught in its large mandibles that can snap thick tree branches.",,bug,gray,,armor
736,737,VII,Charjabug,Dendimushi,Battery Pokémon,bug,electric,"While its durable shell protects it from attacks, Charjabug strikes at enemies with jolts of electricity discharged from the tips of its jaws.",,bug,green,,squiggle
737,738,VII,Vikavolt,Kuwagannon,Stag Beetle Pokémon,bug,electric,"It builds up electricity in its abdomen, focuses it through its jaws, and then fires the electricity off in concentrated beams.",,bug,blue,,armor
738,739,VII,Crabrawler,Makenkani,Boxing Pokémon,fighting,,Its hard pincers are well suited to both offense and defense. Fights between two Crabrawler are like boxing matches.,,water3,purple,,armor
739,740,VII,Crabominable,Kekenkani,Woolly Crab Pokémon,fighting,ice,It stores coldness in its pincers and pummels its foes. It can even smash thick walls of ice to bits!,,water3,white,,armor
740,741,VII,Oricorio,Odoridori,Dancing Pokémon,fire,flying,It wins the hearts of its enemies with its passionate dancing and then uses the opening it creates to burn them up with blazing flames.,,flying,red,,wings
741,742,VII,Cutiefly,Abuly,Bee Fly Pokémon,bug,fairy,"Nectar and pollen are its favorite fare. You can find Cutiefly hovering around Gossifleur, trying to get some of Gossifleur’s pollen.",,fairy,yellow,,armor
742,743,VII,Ribombee,Aburibbon,Bee Fly Pokémon,bug,fairy,It makes pollen puffs from pollen and nectar. The puffs’ effects depend on the type of ingredients and how much of each one is used.,,fairy,yellow,,bug-wings
743,744,VII,Rockruff,Iwanko,Puppy Pokémon,rock,,"This Pokémon can bond very strongly with its Trainer, but it also has a habit of biting. Raising a Rockruff for a long time can be challenging.",,ground,brown,,quadruped
744,745,VII,Lycanroc,Lugarugan,Wolf Pokémon,rock,,This Lycanroc is calm and cautious. The rocks jutting from its mane are razor sharp.,,ground,brown,,quadruped
745,746,VII,Wishiwashi,Yowashi,Small Fry Pokémon,water,,"Individually, they’re incredibly weak. It’s by gathering up into schools that they’re able to confront opponents.",,water2,blue,,fish
746,747,VII,Mareanie,Hidoide,Brutal Star Pokémon,poison,water,The first symptom of its sting is numbness. The next is an itching sensation so intense that it’s impossible to resist the urge to claw at your skin.,,water1,blue,,blob
747,748,VII,Toxapex,Dohidoide,Brutal Star Pokémon,poison,water,"To survive in the cold waters of Galar, this Pokémon forms a dome with its legs, enclosing its body so it can capture its own body heat.",,water1,blue,,tentacles
748,749,VII,Mudbray,Dorobanko,Donkey Pokémon,ground,,Loads weighing up to 50 times as much as its own body weight pose no issue for this Pokémon. It’s skilled at making use of mud.,,ground,brown,,quadruped
749,750,VII,Mudsdale,Banbadoro,Draft Horse Pokémon,ground,,Mud that hardens around a Mudsdale’s legs sets harder than stone. It’s so hard that it allows this Pokémon to scrap a truck with a single kick.,,ground,brown,,quadruped
750,751,VII,Dewpider,Shizukumo,Water Bubble Pokémon,water,bug,It forms a water bubble at the rear of its body and then covers its head with it. Meeting another Dewpider means comparing water-bubble sizes.,,bug,green,,legs
751,752,VII,Araquanid,Onishizukumo,Water Bubble Pokémon,water,bug,"It launches water bubbles with its legs, drowning prey within the bubbles. This Pokémon can then take its time to savor its meal.",,bug,green,,armor
752,753,VII,Fomantis,Karikiri,Sickle Grass Pokémon,grass,,"When bathed in sunlight, this Pokémon emits a pleasantly sweet scent, which causes bug Pokémon to gather around it.",,plant,pink,,upright
753,754,VII,Lurantis,Lalantes,Bloom Sickle Pokémon,grass,,"This Pokémon resembles a beautiful flower. A properly raised Lurantis will have gorgeous, brilliant colors.",,plant,pink,,humanoid
754,755,VII,Morelull,Nemasyu,Illuminating Pokémon,grass,fairy,Pokémon living in the forest eat the delicious caps on Morelull’s head. The caps regrow overnight.,,plant,purple,,blob
755,756,VII,Shiinotic,Mashade,Illuminating Pokémon,grass,fairy,"Its flickering spores lure in prey and put them to sleep. Once this Pokémon has its prey snoozing, it drains their vitality with its fingertips.",,plant,purple,,humanoid
756,757,VII,Salandit,Yatoumori,Toxic Lizard Pokémon,poison,fire,Its venom sacs produce a fluid that this Pokémon then heats up with the flame in its tail. This process creates Salandit’s poisonous gas.,,dragon,black,,quadruped
757,758,VII,Salazzle,Ennewt,Toxic Lizard Pokémon,poison,fire,Only female Salazzle exist. They emit a gas laden with pheromones to captivate male Salandit.,,dragon,black,,quadruped
758,759,VII,Stufful,Nuikoguma,Flailing Pokémon,normal,fighting,"Its fluffy fur is a delight to pet, but carelessly reaching out to touch this Pokémon could result in painful retaliation.",,ground,pink,,quadruped
759,760,VII,Bewear,Kiteruguma,Strong Arm Pokémon,normal,fighting,"Once it accepts you as a friend, it tries to show its affection with a hug. Letting it do that is dangerous—it could easily shatter your bones.",,ground,pink,,upright
760,761,VII,Bounsweet,Amakaji,Fruit Pokémon,grass,,"Its body gives off a sweet, fruity scent that is extremely appetizing to bird Pokémon.",,plant,purple,,legs
761,762,VII,Steenee,Amamaiko,Fruit Pokémon,grass,,"As it twirls like a dancer, a sweet smell spreads out around it. Anyone who inhales the scent will feel a surge of happiness.",,plant,purple,,humanoid
762,763,VII,Tsareena,Amajo,Fruit Pokémon,grass,,"This feared Pokémon has long, slender legs and a cruel heart. It shows no mercy as it stomps on its opponents.",,plant,purple,,humanoid
763,764,VII,Comfey,Cuwawa,Posy Picker Pokémon,fairy,,"Comfey picks flowers with its vine and decorates itself with them. For some reason, flowers won’t wither once they’re attached to a Comfey.",,plant,green,,ball
764,765,VII,Oranguru,Yareyuutan,Sage Pokémon,normal,psychic,With waves of its fan—made from leaves and its own fur—Oranguru skillfully gives instructions to other Pokémon.,,ground,white,,humanoid
765,766,VII,Passimian,Nagetukesaru,Teamwork Pokémon,fighting,,"Displaying amazing teamwork, they follow the orders of their boss as they all help out in the search for their favorite berries.",,ground,white,,upright
766,767,VII,Wimpod,Kosokumushi,Turn Tail Pokémon,bug,water,"It’s nature’s cleaner—it eats anything and everything, including garbage and rotten things. The ground near its nest is always clean.",,water3,gray,,tentacles
767,768,VII,Golisopod,Gusokumusha,Hard Scale Pokémon,bug,water,"It will do anything to win, taking advantage of every opening and finishing opponents off with the small claws on its front legs.",,water3,gray,,humanoid
768,769,VII,Sandygast,Sunaba,Sand Heap Pokémon,ghost,ground,Grudges of the dead have possessed a mound of sand and become a Pokémon. Sandygast is fond of the shovel on its head.,,indeterminate,brown,,squiggle
769,770,VII,Palossand,Sirodethna,Sand Castle Pokémon,ghost,ground,"Palossand is known as the Beach Nightmare. It pulls its prey down into the sand by controlling the sand itself, and then it sucks out their souls.",,indeterminate,brown,,squiggle
770,771,VII,Pyukumuku,Namakobushi,Sea Cucumber Pokémon,water,,"It lives in warm, shallow waters. If it encounters a foe, it will spit out its internal organs as a means to punch them.",,water1,black,,squiggle
771,772,VII,Type: Null,Type: Null,Synthetic Pokémon,normal,,Rumor has it that the theft of top-secret research notes led to a new instance of this Pokémon being created in the Galar region.,,,,,
772,773,VII,Silvally,Silvady,Synthetic Pokémon,normal,,A solid bond of trust between this Pokémon and its Trainer awakened the strength hidden within Silvally. It can change its type at will.,,no-eggs,gray,,quadruped
773,774,VII,Minior,Meteno,Meteor Pokémon,rock,flying,"It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.",,mineral,brown,,ball
774,775,VII,Komala,Nekkoara,Drowsing Pokémon,normal,,"It stays asleep from the moment it’s born. When it falls into a deep sleep, it stops moving altogether.",,ground,blue,,humanoid
775,776,VII,Turtonator,Bakugames,Blast Turtle Pokémon,fire,dragon,Explosive substances coat the shell on its back. Enemies that dare attack it will be blown away by an immense detonation.,,dragon,red,,upright
776,777,VII,Togedemaru,Togedemaru,Roly-Poly Pokémon,electric,steel,"With the long hairs on its back, this Pokémon takes in electricity from other electric Pokémon. It stores what it absorbs in an electric sac.",,fairy,gray,,upright
777,778,VII,Mimikyu,Mimikkyu,Disguise Pokémon,ghost,fairy,"It wears a rag fashioned into a Pikachu costume in an effort to look less scary. Unfortunately, the costume only makes it creepier.",,indeterminate,yellow,,squiggle
778,779,VII,Bruxish,Hagigishiri,Gnash Teeth Pokémon,water,psychic,"It burrows beneath the sand, radiating psychic power from the protuberance on its head. It waits for prey as it surveys the area.",,water2,pink,,fish
779,780,VII,Drampa,Jijilong,Placid Pokémon,normal,dragon,"The mountains it calls home are nearly two miles in height. On rare occasions, it descends to play with the children living in the towns below.",,dragon,white,,squiggle
780,781,VII,Dhelmise,Dadarin,Sea Creeper Pokémon,ghost,grass,"After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon.",,mineral,green,,blob
781,782,VII,Jangmo-o,Jyarako,Scaly Pokémon,dragon,,They learn to fight by smashing their head scales together. The dueling strengthens both their skills and their spirits.,,dragon,gray,,quadruped
782,783,VII,Hakamo-o,Jyarango,Scaly Pokémon,dragon,fighting,"The scaleless, scarred parts of its body are signs of its strength. It shows them off to defeated opponents.",,dragon,gray,,upright
783,784,VII,Kommo-o,Jyararanga,Scaly Pokémon,dragon,fighting,It clatters its tail scales to unnerve opponents. This Pokémon will battle only those who stand steadfast in the face of this display.,,dragon,gray,,upright
784,785,VII,Tapu Koko,Kapu-kokeko,Land Spirit Pokémon,electric,fairy,"Although it’s called a guardian deity, if a person or Pokémon puts it in a bad mood, it will become a malevolent deity and attack.",,,,,
785,786,VII,Tapu Lele,Kapu-tetefu,Land Spirit Pokémon,psychic,fairy,It heals the wounds of people and Pokémon by sprinkling them with its sparkling scales. This guardian deity is worshiped on Akala.,,,,,
786,787,VII,Tapu Bulu,Kapu-bulul,Land Spirit Pokémon,grass,fairy,"Although it’s called a guardian deity, it’s violent enough to crush anyone it sees as an enemy.",,,,,
787,788,VII,Tapu Fini,Kapu-rehire,Land Spirit Pokémon,water,fairy,"This guardian deity of Poni Island manipulates water. Because it lives deep within a thick fog, it came to be both feared and revered.",,,,,
788,789,VII,Cosmog,Cosmog,Nebula Pokémon,psychic,,"Even though its helpless, gaseous body can be blown away by the slightest breeze, it doesn’t seem to care.",,no-eggs,blue,,ball
789,790,VII,Cosmoem,Cosmovum,Protostar Pokémon,psychic,,The king who ruled Alola in times of antiquity called it the “cocoon of the stars” and built an altar to worship it.,,no-eggs,blue,,ball
790,791,VII,Solgaleo,Solgaleo,Sunne Pokémon,psychic,steel,Sometimes the result of its opening an Ultra Wormhole is that energy and life-forms from other worlds are called here to this world.,,no-eggs,white,,quadruped
791,792,VII,Lunala,Lunala,Moone Pokémon,psychic,ghost,"Records of it exist in writings from long, long ago, where it was known by the name “the beast that calls the moon.”",,no-eggs,purple,,wings
792,793,VII,Nihilego,Uturoid,Parasite Pokémon,rock,poison,"A life-form from another world, it was dubbed a UB and is thought to produce a strong neurotoxin.",,no-eggs,white,,tentacles
793,794,VII,Buzzwole,Massivoon,Swollen Pokémon,bug,fighting,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives.",,no-eggs,red,,tentacles
794,795,VII,Pheromosa,Pheroache,Lissome Pokémon,bug,fighting,"A life-form that lives in another world, its body is thin and supple, but it also possesses great power.",,no-eggs,white,,humanoid
795,796,VII,Xurkitree,Denjyumoku,Glowing Pokémon,electric,,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives.",,no-eggs,black,,upright
796,797,VII,Celesteela,Tekkaguya,Launch Pokémon,steel,flying,"One of the dangerous UBs, high energy readings can be detected coming from both of its huge arms.",,no-eggs,green,,humanoid
797,798,VII,Kartana,Kamiturugi,Drawn Sword Pokémon,grass,steel,"This Ultra Beast’s body, which is as thin as paper, is like a sharpened sword.",,no-eggs,white,,humanoid
798,799,VII,Guzzlord,Akuziking,Junkivore Pokémon,dark,dragon,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives.",,no-eggs,black,,upright
799,800,VII,Necrozma,Necrozma,Prism Pokémon,psychic,psychic,"It looks somehow pained as it rages around in search of light, which serves as its energy. It’s apparently from another world.",,no-eggs,black,,arms
800,801,VII,Magearna,Magearna,Artificial Pokémon,steel,fairy,It synchronizes its consciousness with others to understand their feelings. This faculty makes it useful for taking care of people.,,no-eggs,gray,,humanoid
801,802,VII,Marshadow,Marshadow,Gloomdweller Pokémon,fighting,ghost,"It slips into the shadows of others and mimics their powers and movements. As it improves, it becomes stronger than those it’s imitating.",,no-eggs,gray,,humanoid
802,803,VII,Poipole,Bevenom,Poison Pin Pokémon,poison,,This Ultra Beast is well enough liked to be chosen as a first partner in its own world.,,no-eggs,purple,,upright
803,804,VII,Naganadel,Agoyon,Poison Pin Pokémon,poison,dragon,It stores hundreds of liters of poisonous liquid inside its body. It is one of the organisms known as UBs.,,no-eggs,purple,,wings
804,805,VII,Stakataka,Tsundetsunde,Rampart Pokémon,rock,steel,It appeared from an Ultra Wormhole. Each one appears to be made up of many life-forms stacked one on top of each other.,,no-eggs,gray,,quadruped
805,806,VII,Blacephalon,Zugadon,Fireworks Pokémon,fire,ghost,"It slithers toward people. Then, without warning, it triggers the explosion of its own head. It’s apparently one kind of Ultra Beast.",,no-eggs,white,,humanoid
806,807,VII,Zeraora,Zeraora,Thunderclap Pokémon,electric,,"It electrifies its claws and tears its opponents apart with them. Even if they dodge its attack, they’ll be electrocuted by the flying sparks.",,no-eggs,yellow,,humanoid
807,808,VII,Meltan,Meltan,Hex Nut Pokémon,steel,,"It melts particles of iron and other metals found in the subsoil, so it can absorb them into its body of molten steel.",,no-eggs,gray,,ball
808,809,VII,Melmetal,Melmetal,Hex Nut Pokémon,steel,,"At the end of its life-span, Melmetal will rust and fall apart. The small shards left behind will eventually be reborn as Meltan.",,no-eggs,gray,,humanoid
809,810,VIII,Grookey,Sarunori,Chimp Pokémon,grass,,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",,plant,green,,upright
810,811,VIII,Thwackey,Bachinki,Beat Pokémon,grass,,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.",,plant,green,,upright
811,812,VIII,Rillaboom,Gorilander,Drummer Pokémon,grass,,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",,plant,green,,humanoid
812,813,VIII,Scorbunny,Hibanny,Rabbit Pokémon,fire,,"A warm-up of running around gets fire energy coursing through this Pokémon’s body. Once that happens, it’s ready to fight at full power.",,humanshape,white,,upright
813,814,VIII,Raboot,Rabbifoot,Rabbit Pokémon,fire,,Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves.,,humanshape,gray,,upright
814,815,VIII,Cinderace,Aceburn,Striker Pokémon,fire,,"It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched.",,humanshape,white,,upright
815,816,VIII,Sobble,Messon,Water Lizard Pokémon,water,,"When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won’t be able to resist weeping.",,ground,blue,,quadruped
816,817,VIII,Drizzile,Jimeleon,Water Lizard Pokémon,water,,"A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms.",,ground,blue,,upright
817,818,VIII,Inteleon,Inteleon,Secret Agent Pokémon,water,,"It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.",,ground,blue,,upright
818,819,VIII,Skwovet,Hoshigarisu,Cheeky Pokémon,normal,,"Found throughout the Galar region, this Pokémon becomes uneasy if its cheeks are ever completely empty of berries.",,ground,brown,,upright
819,820,VIII,Greedent,Yokubarisu,Greedy Pokémon,normal,,"It stashes berries in its tail—so many berries that they fall out constantly. But this Pokémon is a bit slow-witted, so it doesn’t notice the loss.",,ground,brown,,upright
820,821,VIII,Rookidee,Kokogara,Tiny Bird Pokémon,flying,,"It will bravely challenge any opponent, no matter how powerful. This Pokémon benefits from every battle—even a defeat increases its strength a bit.",,flying,blue,,wings
821,822,VIII,Corvisquire,Aogarasu,Raven Pokémon,flying,,"Smart enough to use tools in battle, these Pokémon have been seen picking up rocks and flinging them or using ropes to wrap up enemies.",,flying,blue,,wings
822,823,VIII,Corviknight,Armorga,Raven Pokémon,flying,steel,This Pokémon reigns supreme in the skies of the Galar region. The black luster of its steel body could drive terror into the heart of any foe.,,flying,purple,,wings
823,824,VIII,Blipbug,Satchimushi,Larva Pokémon,bug,,"A constant collector of information, this Pokémon is very smart. Very strong is what it isn’t.",,bug,blue,,armor
824,825,VIII,Dottler,Redomushi,Radome Pokémon,bug,psychic,"It barely moves, but it’s still alive. Hiding in its shell without food or water seems to have awakened its psychic powers.",,bug,yellow,,armor
825,826,VIII,Orbeetle,Iorofu,Seven Spot Pokémon,bug,psychic,"It’s famous for its high level of intelligence, and the large size of its brain is proof that it also possesses immense psychic power.",,bug,red,,wings
826,827,VIII,Nickit,Kusune,Fox Pokémon,dark,,"Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon. It survives off its ill-gotten gains.",,ground,brown,,quadruped
827,828,VIII,Thievul,Fokusurai,Fox Pokémon,dark,,"It secretly marks potential targets with a scent. By following the scent, it stalks its targets and steals from them when they least expect it.",,ground,brown,,quadruped
828,829,VIII,Gossifleur,Himenka,Flowering Pokémon,grass,,"It anchors itself in the ground with its single leg, then basks in the sun. After absorbing enough sunlight, its petals spread as it blooms brilliantly.",,plant,green,,blob
829,830,VIII,Eldegoss,Watashiraga,Cotton Bloom Pokémon,grass,,The seeds attached to its cotton fluff are full of nutrients. It spreads them on the wind so that plants and other Pokémon can benefit from them.,,plant,green,,blob
830,831,VIII,Wooloo,Wooloo,Sheep Pokémon,normal,,"Its curly fleece is such an effective cushion that this Pokémon could fall off a cliff and stand right back up at the bottom, unharmed.",,ground,white,,quadruped
831,832,VIII,Dubwool,Baiwooloo,Sheep Pokémon,normal,,"Weave a carpet from its springy wool, and you end up with something closer to a trampoline. You’ll start to bounce the moment you set foot on it.",,ground,white,,quadruped
832,833,VIII,Chewtle,Kamukame,Snapping Pokémon,water,,Apparently the itch of its teething impels it to snap its jaws at anything in front of it.,,water1,green,,quadruped
